Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
100,400,0.95,10,1.0,17.850468244830807,0
100,400,0.95,10,1.0,17.850468244830807,0
100,400,0.95,10,0.8,23.44354016362744,4
100,400,0.95,10,0.92,19.421264571625706,2
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.92,19.976624938895498,2
100,400,0.95,10,0.84,20.9920608984206,4
100,400,0.95,10,0.84,18.865904204355907,3
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.92,20.762023102292947,2
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.76,22.658142000229983,2
100,400,0.95,10,0.84,20.762023102292947,3
100,400,0.95,10,0.88,20.762023102292947,3
100,400,0.95,10,0.92,21.317383469562746,2
100,400,0.95,10,0.96,17.29510787756101,1
100,400,0.95,10,0.88,21.87274383683254,2
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.96,18.635866408228253,1
100,400,0.95,10,0.92,19.421264571625706,2
100,400,0.95,10,0.88,23.99890053089723,3
100,400,0.95,10,0.84,24.78429869429468,3
100,400,0.95,10,0.92,18.08050604095846,2
100,400,0.95,10,0.8,22.88817979635764,4
100,400,0.95,10,0.88,20.20666273502315,3
100,400,0.95,10,1.0,17.850468244830807,0
100,400,0.95,10,0.88,21.5474212656904,3
100,400,0.95,10,0.8,21.5474212656904,4
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.96,18.635866408228253,1
100,400,0.95,10,0.84,21.5474212656904,4
100,400,0.95,10,0.92,19.421264571625706,2
100,400,0.95,10,0.8,26.12505722496192,4
100,400,0.95,10,0.84,19.421264571625706,2
100,400,0.95,10,0.88,21.317383469562746,2
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.88,23.44354016362744,3
100,400,0.95,10,0.8,21.317383469562746,2
100,400,0.95,10,0.92,21.317383469562746,2
100,400,0.95,10,0.88,19.421264571625706,2
100,400,0.95,10,0.88,21.87274383683254,2
100,400,0.95,10,0.88,20.20666273502315,3
100,400,0.95,10,0.8,22.88817979635764,4
100,400,0.95,10,0.88,23.44354016362744,3
100,400,0.95,10,1.0,17.850468244830807,0
100,400,0.95,10,0.88,18.08050604095846,2
100,400,0.95,10,0.92,22.658142000229983,2
100,400,0.95,10,0.88,21.317383469562746,2
100,400,0.95,10,0.88,22.10278163296019,3
100,400,0.95,10,0.96,17.29510787756101,1
100,400,0.95,10,0.8,25.339659061564475,3
100,400,0.95,10,0.92,16.739747510291217,2
100,400,0.95,10,0.92,21.317383469562746,2
100,400,0.95,10,0.88,21.87274383683254,1
100,400,0.95,10,1.0,17.850468244830807,0
100,400,0.95,10,0.96,18.635866408228253,1
100,400,0.95,10,0.8,20.9920608984206,4
100,400,0.95,10,0.84,20.762023102292947,3
100,400,0.95,10,0.92,18.080506040958458,2
100,400,0.95,10,0.8,23.11821759248529,5
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.92,21.317383469562746,2
100,400,0.95,10,0.84,22.33281942908784,4
100,400,0.95,10,0.76,22.56285722521549,5
100,400,0.95,10,0.84,20.76202310229295,2
100,400,0.95,10,0.72,20.436700531150805,5
100,400,0.95,10,0.84,22.10278163296019,2
100,400,0.95,10,0.96,18.635866408228253,1
100,400,0.95,10,0.96,18.635866408228253,1
100,400,0.95,10,0.84,19.651302367753352,3
100,400,0.95,10,0.88,21.317383469562746,2
100,400,0.95,10,0.76,23.11821759248529,6
100,400,0.95,10,0.88,21.87274383683254,2
100,400,0.95,10,0.84,24.554260898167023,2
100,400,0.95,10,0.92,18.08050604095846,2
100,400,0.95,10,0.96,18.635866408228253,1
100,400,0.95,10,0.88,21.5474212656904,3
100,400,0.95,10,0.96,20.531985306165296,1
100,400,0.95,10,0.96,20.531985306165296,1
